UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label,annotation
16,T’Challa “Black Panther”,https://www.personality-database.com/profile/2010/tchalla-black-panther-marvel-comics-mbti-personality-type,2010,"['Marvel Comics', 'Marvel vs. Capcom']","Black Panther is a fictional superhero appearing in American comic books published by Marvel Comics. The character was created by writer-editor Stan Lee and writer-artist Jack Kirby, first appearing in Fantastic Four #52 (cover-dated July 1966) in the Silver Age of Comic Books. Black Panther's real name is T'Challa, king, and protector of the fictional African nation of Wakanda.",,,,,,,,,,,,,
16,"T'Challa ""Black Panther""",https://www.personality-database.com/profile/398398/tchalla-black-panther-what-if-2021-mbti-personality-type,398398,['What If...? (2021)'],"T'Challa, better known as Black Panther, was the royal protector of Wakanda and the son of King T'Chaka who died at the hands of his cousin.

T’Challa in Episodes 5 and 6 of What If.

#WhatIfShow #WhatIfMarvel #ChadwickBoseman #TChalla #BlackPanther",,,,,,,,,,,,,
17,"Victor Stone ""Cyborg""",https://www.personality-database.com/profile/1994/victor-stone-cyborg-dc-comics-mbti-personality-type,1994,"['DC Comics', 'Injustice: Gods Among Us']","Cyborg is a fictional superhero appearing in American comic books published by DC Comics . The character was created by writer Marv Wolfman and artist George Pérez and first appears in a special insert in DC Comics Presents #26 (October 1980). Originally known as a member of the Teen Titans, Cyborg was established as a founding member of the Justice League in DC's 2011 reboot of its comic book titles and subsequently in the 2016 relaunch of its continuity.",,,,,,,,,,,,,
17,Cyborg,https://www.personality-database.com/profile/2648/steve-rogers-captain-america-marvel-comics-mbti-personality-type#google_vignette,2648,"['Teen Titans (2003)', 'Teen Titans GO! vs. Teen Titans']","As a teenager, Cyborg was hideously mutilated in a car accident. Fortunately, his parents were foremost experts in cybernetic enhancements, so they integrated their son with a variety of advanced robotic components in order to save his life. For quite some time afterward, he was despondent about his change, and even in the series he remains somewhat unhappy with the loss of his normal life. But he retains a strong zest for life and devotes himself to making the best of his situation, to the extent he usually appears much happier than Robin does. As a cybernetically augmented human, Cyborg has several built in weapons (mainly a sonic cannon), the general resilience you'd expect of someone who's only partly squishy flesh and covered in armor, and super strength, as well as a considerable IQ that he puts to use as a Gadgeteer Genius.",,,,,,,,,,,,,
18,"Hal Jordan ""Green Lantern""",https://www.personality-database.com/profile/1992/hal-jordan-green-lantern-dc-comics-mbti-personality-type,1992,"['DC Comics', 'Injustice: Gods Among Us']","Hal Jordan, also known as Green Lantern, is a fictional superhero appearing in American comic books published by DC Comics. The character was created in 1959 by writer John Broome and artist Gil Kane, and first appeared in Showcase #22 (October 1959). Hal Jordan is a reinvention of the previous Green Lantern who appeared in 1940s comic books as the character Alan Scott.Hal Jordan is a fighter pilot, a member and occasionally leader of an intergalactic police force called the Green Lantern Corps, as well as a founding member of the Justice League, DC's flagship superhero team, alongside well-known heroes such as Batman, Superman, and Wonder Woman.",,,,,,,,,,,,,
18,Green Lantern (Hal Jordan),https://www.personality-database.com/profile/83252/green-lantern-hal-jordan-justice-league-2001-mbti-personality-type,83252,['Justice League (2001)'],"A U.S. Air Force pilot stationed at Broome Lake. In another life, Hal Jordan would have been the Green Lantern that joined the Justice League. During the crisis caused by Chronos's tampering with the timeline, he briefly appeared in place of John Stewart. At some point in the main timeline, he eventually becomes a Green Lantern and joins the Justice League.",,,,,,,,,,,,,
19,Green Arrow (Oliver Queen),https://www.personality-database.com/profile/14668/green-arrow-oliver-queen-justice-league-2001-mbti-personality-type,14668,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Green Arrow (Oliver Queen) is a superhero recruited into the Justice League after the Thanagarian invasion. He came from a wealthy background, but held left-wing views from an early age. A skilled archer, he dressed himself as Robin Hood, developed an arsenal of trick arrows with various functions, dubbed himself Green Arrow and became a vigilante.",,,,,,,,,,,,,
19,"Oliver Queen ""Green Arrow""",https://www.personality-database.com/profile/1996/oliver-queen-green-arrow-dc-comics-mbti-personality-type,1996,"['DC Comics', 'Injustice: Gods Among Us']","Green Arrow is a fictional superhero who appears in comic books published by DC Comics. Created by Mort Weisinger and designed by George Papp, he first appeared in More Fun Comics #73 in November 1941. His real name is Oliver Jonas Queen, a wealthy businessman and owner of Queen Industries who is also a well-known celebrity in Star City. Sometimes shown dressed like the character Robin Hood, Green Arrow is an archer who uses his skills to fight crime in his home cities of Star City and Seattle, as well as alongside his fellow superheroes as a member of the Justice League.",,,,,,,,,,,,,
20,Martian Manhunter (J'onn J'onzz),https://www.personality-database.com/profile/1752/martian-manhunter-jonn-jonzz-justice-league-2001-mbti-personality-type,1752,['Justice League (2001)'],"After the conquering race known as the Imperium wiped out all other life on his home planet of Mars, J'onn J'onzz managed to seal them away and set himself as a guard over them to prevent their escape. However, many years later they were unwittingly released by Earth astronauts and set their sights on conquering Earth. With the help of six of Earth's mightiest heroes, J'onn was able to defeat the Imperium and eventually adopted Earth as his new home.",,,,,,,,,,,,,
20,J’onn J’onnz “Martian Manhunter”,https://www.personality-database.com/profile/1995/jonn-jonnz-martian-manhunter-dc-comics-mbti-personality-type,1995,"['DC Comics', 'Scribblenauts']","The Martian Manhunter (J’onn J’onzz) is a fictional superhero appearing in American comic books published by DC Comics. Created by writer Joseph Samachson and designed by artist Joe Certa, the character first appeared in the story “The Manhunter from Mars” in Detective Comics #225 (Nov. 1955). Martian Manhunter is one of the seven original members of the Justice League of America and one of the most powerful beings in the DC Universe.",,,,,,,,,,,,,
21,"Kent Nelson ""Doctor Fate""",https://www.personality-database.com/profile/506747/kent-nelson-doctor-fate-dc-extended-universe-mbti-personality-type,506747,"['DC Extended Universe', 'Black Adam (2022)']","A member of the JSA and the son of an archeologist who learned sorcery and was given the magical Helmet of Fate. Brosnan wore a motion capture suit for the role.

#PierceBrosnan",,,,,,,,,,,,,
21,Doctor Fate (Kent Nelson),https://www.personality-database.com/profile/83268/doctor-fate-kent-nelson-justice-league-2001-mbti-personality-type,83268,['Justice League (2001)'],Doctor Fate was mystical superhero who worked with Superman before. He's later become a member of the Justice League after the Thanagarian invasion who has magic powers.,,,,,,,,,,,,,
